label,a,rx,ry,N,T_min,T_min_gap,gap_nm,has_gap,T_max,time_s,filename
a0.660_rx0.200_ry0.400_N20,0.66,0.2,0.4,20,0.42768805617394834,0.42768805617394834,160.5623518455809,True,0.7386122335740811,2.0,2d_a0.660_rx0.200_ry0.400_N20.csv
a0.660_rx0.200_ry0.440_N12,0.66,0.2,0.44,12,0.3267354575401001,0.3267354575401001,160.5623518455809,True,0.7520435604690684,1.5,2d_a0.660_rx0.200_ry0.440_N12.csv
a0.660_rx0.200_ry0.440_N16,0.66,0.2,0.44,16,0.28874349760019613,0.28874349760019613,160.5623518455809,True,0.5903429248590558,1.7,2d_a0.660_rx0.200_ry0.440_N16.csv
a0.660_rx0.200_ry0.440_N20,0.66,0.2,0.44,20,0.06438096157043396,0.06438096157043396,160.5623518455809,True,0.6102082623392396,2.0,2d_a0.660_rx0.200_ry0.440_N20.csv
a0.660_rx0.220_ry0.200_N12,0.66,0.22,0.2,12,0.21348607811013956,0.21348607811013956,160.5623518455809,True,0.6274154894753524,1.5,2d_a0.660_rx0.220_ry0.200_N12.csv
a0.660_rx0.220_ry0.200_N16,0.66,0.22,0.2,16,0.12734349905517287,0.12734349905517287,160.5623518455809,True,0.3779180530767187,1.7,2d_a0.660_rx0.220_ry0.200_N16.csv
a0.660_rx0.220_ry0.200_N20,0.66,0.22,0.2,20,0.07986603053749482,0.07986603053749482,160.5623518455809,True,0.6425722001661238,2.0,2d_a0.660_rx0.220_ry0.200_N20.csv
a0.660_rx0.220_ry0.240_N12,0.66,0.22,0.24,12,0.24080201586789066,0.24080201586789066,160.5623518455809,True,0.6149854466925238,1.5,2d_a0.660_rx0.220_ry0.240_N12.csv
a0.660_rx0.220_ry0.240_N16,0.66,0.22,0.24,16,0.1492434712161546,0.1492434712161546,160.5623518455809,True,0.41383818933890293,1.8,2d_a0.660_rx0.220_ry0.240_N16.csv
a0.660_rx0.220_ry0.240_N20,0.66,0.22,0.24,20,0.09545967615799338,0.09545967615799338,160.5623518455809,True,0.7942788239301409,2.0,2d_a0.660_rx0.220_ry0.240_N20.csv
a0.660_rx0.220_ry0.280_N12,0.66,0.22,0.28,12,0.3180847666582022,0.3180847666582022,152.2902930220514,True,1.340386981605943,1.5,2d_a0.660_rx0.220_ry0.280_N12.csv
a0.660_rx0.220_ry0.280_N16,0.66,0.22,0.28,16,0.2251351213744265,0.2251351213744265,157.18215424303344,True,1.0855955399331696,1.8,2d_a0.660_rx0.220_ry0.280_N16.csv
a0.660_rx0.220_ry0.280_N20,0.66,0.22,0.28,20,0.16036200642488777,0.16036200642488777,160.5623518455809,True,0.717654027149145,2.0,2d_a0.660_rx0.220_ry0.280_N20.csv
a0.660_rx0.220_ry0.320_N12,0.66,0.22,0.32,12,0.4008446922821909,0.4008446922821909,149.85530821328553,True,1.9898160992071547,1.5,2d_a0.660_rx0.220_ry0.320_N12.csv
a0.660_rx0.220_ry0.320_N16,0.66,0.22,0.32,16,0.3359900320237031,0.3359900320237031,160.5623518455809,True,0.7446666270950871,1.7,2d_a0.660_rx0.220_ry0.320_N16.csv
a0.660_rx0.220_ry0.320_N20,0.66,0.22,0.32,20,0.28080753453702384,0.28080753453702384,160.5623518455809,True,0.6345045959559099,2.0,2d_a0.660_rx0.220_ry0.320_N20.csv
a0.660_rx0.220_ry0.360_N12,0.66,0.22,0.36,12,0.46493212068037626,0.46493212068037626,160.25448451587545,True,0.89819274939669,1.5,2d_a0.660_rx0.220_ry0.360_N12.csv
a0.660_rx0.220_ry0.360_N16,0.66,0.22,0.36,16,0.2056122667185667,0.2056122667185667,160.5623518455809,True,0.5545566186131256,1.8,2d_a0.660_rx0.220_ry0.360_N16.csv
a0.660_rx0.220_ry0.360_N20,0.66,0.22,0.36,20,0.41839594012749626,0.41839594012749626,160.5623518455809,True,0.7367080400150554,2.0,2d_a0.660_rx0.220_ry0.360_N20.csv
a0.660_rx0.220_ry0.400_N12,0.66,0.22,0.4,12,0.45379584301137216,0.45379584301137216,160.5623518455809,True,0.5898923109440015,1.5,2d_a0.660_rx0.220_ry0.400_N12.csv
a0.660_rx0.220_ry0.400_N16,0.66,0.22,0.4,16,0.4492724618133996,0.4492724618133996,160.5623518455809,True,0.5386805467649389,1.7,2d_a0.660_rx0.220_ry0.400_N16.csv
a0.660_rx0.220_ry0.400_N20,0.66,0.22,0.4,20,0.18679365580338503,0.18679365580338503,160.5623518455809,True,0.7206104663796679,2.0,2d_a0.660_rx0.220_ry0.400_N20.csv
a0.660_rx0.220_ry0.440_N12,0.66,0.22,0.44,12,0.32125835597904456,0.32125835597904456,160.5623518455809,True,0.561185925540617,1.5,2d_a0.660_rx0.220_ry0.440_N12.csv
a0.660_rx0.220_ry0.440_N16,0.66,0.22,0.44,16,0.2894456261242441,0.2894456261242441,160.5623518455809,True,0.7292854028661427,1.7,2d_a0.660_rx0.220_ry0.440_N16.csv
a0.660_rx0.220_ry0.440_N20,0.66,0.22,0.44,20,0.06896884898527791,0.06896884898527791,160.5623518455809,True,1.188196566362968,2.0,2d_a0.660_rx0.220_ry0.440_N20.csv
a0.680_rx0.200_ry0.200_N12,0.68,0.2,0.2,12,0.2129194855977914,0.2129194855977914,160.5623518455809,True,0.4678781622655536,1.5,2d_a0.680_rx0.200_ry0.200_N12.csv
a0.680_rx0.200_ry0.200_N16,0.68,0.2,0.2,16,0.10010675000704114,0.10010675000704114,160.5623518455809,True,0.4279211573999389,1.8,2d_a0.680_rx0.200_ry0.200_N16.csv
a0.680_rx0.200_ry0.200_N20,0.68,0.2,0.2,20,0.0680687317652922,0.0680687317652922,137.7885456268134,True,1.3990999549785572,2.0,2d_a0.680_rx0.200_ry0.200_N20.csv
a0.680_rx0.200_ry0.240_N12,0.68,0.2,0.24,12,0.240815654544035,0.240815654544035,160.5623518455809,True,0.48251399452634425,1.5,2d_a0.680_rx0.200_ry0.240_N12.csv
a0.680_rx0.200_ry0.240_N16,0.68,0.2,0.24,16,0.10134642512661932,0.10134642512661932,160.5623518455809,True,0.4646766082034815,1.9,2d_a0.680_rx0.200_ry0.240_N16.csv
a0.680_rx0.200_ry0.240_N20,0.68,0.2,0.24,20,0.08308787601755997,0.08308787601755997,137.48916531708323,True,1.3640579275476266,2.1,2d_a0.680_rx0.200_ry0.240_N20.csv
a0.680_rx0.200_ry0.280_N12,0.68,0.2,0.28,12,0.32782016734202846,0.32782016734202846,160.5623518455809,True,0.5199376921027784,1.6,2d_a0.680_rx0.200_ry0.280_N12.csv
a0.680_rx0.200_ry0.280_N16,0.68,0.2,0.28,16,0.22481114342162759,0.22481114342162759,160.5623518455809,True,0.5190969021701162,1.8,2d_a0.680_rx0.200_ry0.280_N16.csv
a0.680_rx0.200_ry0.280_N20,0.68,0.2,0.28,20,0.1360059900847683,0.1360059900847683,135.09810572584684,True,2.0395888970735294,2.0,2d_a0.680_rx0.200_ry0.280_N20.csv
a0.680_rx0.200_ry0.320_N12,0.68,0.2,0.32,12,0.44123086150665575,0.44123086150665575,160.5623518455809,True,0.8122870038499739,1.6,2d_a0.680_rx0.200_ry0.320_N12.csv
a0.680_rx0.200_ry0.320_N16,0.68,0.2,0.32,16,0.35802967475373654,0.35802967475373654,160.5623518455809,True,0.6481951238152481,1.8,2d_a0.680_rx0.200_ry0.320_N16.csv
a0.680_rx0.200_ry0.320_N20,0.68,0.2,0.32,20,0.20873414530669412,0.20873414530669412,139.58715729305163,True,2.072590521730562,2.0,2d_a0.680_rx0.200_ry0.320_N20.csv
a0.680_rx0.200_ry0.360_N12,0.68,0.2,0.36,12,0.5090391816819122,0.5090391816819122,156.56906875252707,True,1.111339895442571,1.6,2d_a0.680_rx0.200_ry0.360_N12.csv
a0.680_rx0.200_ry0.360_N16,0.68,0.2,0.36,16,0.4698774993047861,0.4698774993047861,160.5623518455809,True,0.6589048326829526,1.8,2d_a0.680_rx0.200_ry0.360_N16.csv
a0.680_rx0.200_ry0.360_N20,0.68,0.2,0.36,20,0.22160276096234424,0.22160276096234424,149.24769667316696,True,1.2678086499729266,2.0,2d_a0.680_rx0.200_ry0.360_N20.csv
