run_id,source_mirror_candidate_id,a_m,rx_m,ry_m,a_c,rx_c,ry_c,N_taper,N_mirror,defect_gap,N_total,valid_geometry,lambda0_nm,FWHM_nm,Q,T_peak,prominence,fit_r2,best_peak_score,highest_q_peak_Q,spectrum_csv,spectrum_png,fit_png,error_message
39,default,0.44,0.12,0.22,0.4175,0.094,0.2457,3,5,0,16,1,1507.57,13.9870,108,0.9593,0.8594,0.9999,54.3,108,results/spectra/cavity_run_0039.csv,results/figures/cavity_run_0039_spectrum.png,results/figures/cavity_run_0039_fit.png,
40,default,0.44,0.12,0.22,0.4205,0.094,0.2457,3,5,0,16,1,1507.61,15.8494,95,0.9634,0.8728,0.9999,54.5,165,results/spectra/cavity_run_0040.csv,results/figures/cavity_run_0040_spectrum.png,results/figures/cavity_run_0040_fit.png,
41,default,0.44,0.12,0.22,0.4235,0.094,0.2457,3,5,0,16,1,1507.64,18.0713,83,0.9635,0.8819,0.9998,54.5,83,results/spectra/cavity_run_0041.csv,results/figures/cavity_run_0041_spectrum.png,results/figures/cavity_run_0041_fit.png,
42,default,0.44,0.12,0.22,0.4265,0.094,0.2457,3,5,0,16,1,1507.60,16.5249,91,0.9595,0.8861,0.9997,54.3,91,results/spectra/cavity_run_0042.csv,results/figures/cavity_run_0042_spectrum.png,results/figures/cavity_run_0042_fit.png,
43,default,0.44,0.12,0.22,0.4295,0.094,0.2457,3,5,0,16,1,1507.47,17.8702,84,0.9505,0.8845,0.9996,53.9,84,results/spectra/cavity_run_0043.csv,results/figures/cavity_run_0043_spectrum.png,results/figures/cavity_run_0043_fit.png,
44,default,0.44,0.12,0.22,0.4235,0.088,0.2457,3,5,0,16,1,1508.20,13.7311,110,0.9640,0.8789,0.9997,54.6,110,results/spectra/cavity_run_0044.csv,results/figures/cavity_run_0044_spectrum.png,results/figures/cavity_run_0044_fit.png,
45,default,0.44,0.12,0.22,0.4235,0.091,0.2457,3,5,0,16,1,1507.93,13.2734,114,0.9639,0.8806,0.9998,54.6,114,results/spectra/cavity_run_0045.csv,results/figures/cavity_run_0045_spectrum.png,results/figures/cavity_run_0045_fit.png,
46,default,0.44,0.12,0.22,0.4235,0.094,0.2457,3,5,0,16,1,1507.64,18.0713,83,0.9635,0.8819,0.9998,54.5,83,results/spectra/cavity_run_0046.csv,results/figures/cavity_run_0046_spectrum.png,results/figures/cavity_run_0046_fit.png,
47,default,0.44,0.12,0.22,0.4235,0.097,0.2457,3,5,0,16,1,1507.34,15.7444,96,0.9631,0.8829,0.9998,54.4,96,results/spectra/cavity_run_0047.csv,results/figures/cavity_run_0047_spectrum.png,results/figures/cavity_run_0047_fit.png,
48,default,0.44,0.12,0.22,0.4235,0.1,0.2457,3,5,0,16,1,1507.03,13.7283,110,0.9627,0.8836,0.9998,54.4,110,results/spectra/cavity_run_0048.csv,results/figures/cavity_run_0048_spectrum.png,results/figures/cavity_run_0048_fit.png,
49,default,0.44,0.12,0.22,0.4235,0.094,0.2397,3,5,0,16,1,1508.01,16.6679,90,0.9624,0.8817,0.9998,54.5,90,results/spectra/cavity_run_0049.csv,results/figures/cavity_run_0049_spectrum.png,results/figures/cavity_run_0049_fit.png,
50,default,0.44,0.12,0.22,0.4235,0.094,0.2427,3,5,0,16,1,1507.82,14.3524,105,0.9630,0.8819,0.9998,54.5,105,results/spectra/cavity_run_0050.csv,results/figures/cavity_run_0050_spectrum.png,results/figures/cavity_run_0050_fit.png,
51,default,0.44,0.12,0.22,0.4235,0.094,0.2457,3,5,0,16,1,1507.64,18.0713,83,0.9635,0.8819,0.9998,54.5,83,results/spectra/cavity_run_0051.csv,results/figures/cavity_run_0051_spectrum.png,results/figures/cavity_run_0051_fit.png,
52,default,0.44,0.12,0.22,0.4235,0.094,0.2487,3,5,0,16,1,1507.44,14.6048,103,0.9640,0.8818,0.9998,54.5,103,results/spectra/cavity_run_0052.csv,results/figures/cavity_run_0052_spectrum.png,results/figures/cavity_run_0052_fit.png,
53,default,0.44,0.12,0.22,0.4235,0.094,0.2517,3,5,0,16,1,1507.23,17.7125,85,0.9643,0.8814,0.9998,54.5,85,results/spectra/cavity_run_0053.csv,results/figures/cavity_run_0053_spectrum.png,results/figures/cavity_run_0053_fit.png,
54,default,0.44,0.12,0.22,0.4235,0.088,0.2457,2,5,0,14,1,1509.54,85.2544,18,0.8181,0.7693,0.9988,48.7,18,results/spectra/cavity_run_0054.csv,results/figures/cavity_run_0054_spectrum.png,results/figures/cavity_run_0054_fit.png,
55,default,0.44,0.12,0.22,0.4235,0.088,0.2457,3,5,0,16,1,1508.20,13.7311,110,0.9640,0.8789,0.9997,54.6,110,results/spectra/cavity_run_0055.csv,results/figures/cavity_run_0055_spectrum.png,results/figures/cavity_run_0055_fit.png,
56,default,0.44,0.12,0.22,0.4235,0.088,0.2457,4,5,0,18,1,1530.06,295.0384,5,0.6559,0.3967,0.9728,44.0,234,results/spectra/cavity_run_0056.csv,results/figures/cavity_run_0056_spectrum.png,results/figures/cavity_run_0056_fit.png,
