wavelength_nm,transmission
1.690752196964572931e+03,1.536792869397632100e-01
1.691297785411299401e+03,1.537932602986076258e-01
1.691843726083312276e+03,1.539023075322612510e-01
1.692390019321809859e+03,1.540065191581502235e-01
1.692936665468431556e+03,1.541059970545194946e-01
1.693483664865259243e+03,1.542008532973036528e-01
1.694031017854815673e+03,1.542912087950796540e-01
1.694578724780067205e+03,1.543771917250693348e-01
1.695126785984423805e+03,1.544589357786037009e-01
1.695675201811739953e+03,1.545365782123923892e-01
1.696223972606315101e+03,1.546102577280668022e-01
1.696773098712894807e+03,1.546801121819694202e-01
1.697322580476670737e+03,1.547462761478672622e-01
1.697872418243282254e+03,1.548088783481336161e-01
1.698422612358816423e+03,1.548680389764411358e-01
1.698973163169809823e+03,1.549238669415279324e-01
1.699524071023247416e+03,1.549764570539405306e-01
1.700075336266564818e+03,1.550258871938262617e-01
1.700626959247648983e+03,1.550722154933079355e-01
